algoritmo,n,min,max,promedio,Desviacion_estandar,Coeficiente_varicion
bruteforce,15,0.00013377000141190365,0.0003011230000993237,0.00014265659092862627,2.4285271225559714e-05,0.17023588652633712
bruteforce,11,3.65979994967347e-05,8.539000009477604e-05,3.7949024308924054e-05,4.182696637178675e-06,0.11021881888528756
bruteforce,28,0.003819949999524397,0.019785281998338178,0.004549904455351624,0.001305972491641336,0.28703294859417183
bruteforce,26,0.0024346040008822456,0.01968604500143556,0.002895798368409156,0.0010033816676533066,0.346495694796778
bruteforce,17,0.00023505799981649034,0.0007978700014064088,0.00025079226088607127,2.6306887007672633e-05,0.10489513079362206
bruteforce,29,0.0047710959988762625,0.027694251999491826,0.0054604127854414,0.0013725011053926023,0.25135482596699954
bruteforce,19,0.00042438200034666806,0.0008484439986204961,0.00044837180784767513,3.992657464513888e-05,0.08904791502569914
bruteforce,10,2.524699993955437e-05,4.848000025958754e-05,2.6026129039906975e-05,1.8600279391363547e-06,0.07146771370741667
bruteforce,25,0.001917037998282467,0.005318989000443253,0.002131873621835514,0.00042969661503407323,0.2015582024342092
bruteforce,30,0.0059859840002900455,0.025204494999343297,0.006846291569884505,0.0016824687381536457,0.24574891691065218
bruteforce,28,0.0038116649993753526,0.016330361999280285,0.0043782843436077305,0.001075593990936126,0.24566563213430553
bruteforce,11,3.530599860823713e-05,0.0001751970012264792,3.887667790282609e-05,8.424308656367693e-06,0.21669312067827942
bruteforce,18,0.00032108999948832206,0.0010767900002974784,0.0003566311369765379,8.972458144400244e-05,0.25158930934823354
bruteforce,20,0.0005601550001301803,0.0011413109987188363,0.0005934912893831907,8.565108098666003e-05,0.144317334590835
bruteforce,18,0.00032211100005952176,0.0007692750004935078,0.00035357018423162024,7.85955873712232e-05,0.22229133246070326
bruteforce,14,0.0001005769991024863,0.00015950800116115715,0.00010272540016088354,3.96516109625751e-06,0.03859961694038151
bruteforce,13,7.21950000297511e-05,0.00017089900029532146,8.717058858086651e-05,2.4997236212188808e-05,0.28676227405530647
bruteforce,16,0.00017279299936490133,0.00039064900010998826,0.00018648314119159946,2.25443616747217e-05,0.12089222398693303
